algo,seed,step,ep_reward,ep_length,collision,success
SAC,0,773,,,0.0,0.0
SAC,0,775,,,0.0,0.0
SAC,0,778,,,0.0,0.0
SAC,0,782,,,0.0,0.0
SAC,0,783,,,0.0,0.0
SAC,0,789,,,0.0,0.0
SAC,0,800,,,0.0,0.0
SAC,0,807,,,0.0,0.0
SAC,0,809,,,0.0,0.0
SAC,0,811,,,0.0,0.0
SAC,0,815,,,0.0,0.0
SAC,0,820,,,0.0,0.0
SAC,0,821,,,0.0,0.0
SAC,0,822,,,0.0,0.0
SAC,0,827,,,0.0,0.0
SAC,0,831,,,0.0,0.0
SAC,0,832,,,0.0,0.0
SAC,0,834,,,0.0,0.0
SAC,0,835,,,0.0,0.0
SAC,0,843,,,0.0,0.0
SAC,0,852,,,0.0,0.0
SAC,0,858,,,0.0,0.0
SAC,0,859,,,0.0,0.0
SAC,0,862,,,0.0,0.0
SAC,0,864,,,0.0,0.0
SAC,0,590,,4.86,,
SAC,0,590,2.9434958,,,
SAC,0,590,,,,
SAC,0,611,,4.84,,
SAC,0,611,2.929546,,,
SAC,0,611,,,,
SAC,0,628,,4.85,,
SAC,0,628,2.9408226,,,
SAC,0,628,,,,
SAC,0,644,,4.87,,
SAC,0,644,2.9612746,,,
SAC,0,644,,,,
SAC,0,677,,4.95,,
SAC,0,677,3.0138857,,,
SAC,0,677,,,,
SAC,0,686,,4.96,,
SAC,0,686,3.023518,,,
SAC,0,686,,,,
SAC,0,709,,5.09,,
SAC,0,709,3.125434,,,
SAC,0,709,,,,
SAC,0,720,,5.02,,
SAC,0,720,3.070596,,,
SAC,0,720,,,,
SAC,0,735,,4.84,,
SAC,0,735,2.924781,,,
SAC,0,735,,,,
SAC,0,761,,4.92,,
SAC,0,761,2.9793358,,,
SAC,0,761,,,,
SAC,0,773,,4.81,,
SAC,0,773,2.886138,,,
SAC,0,773,,,,
SAC,0,783,,4.73,,
SAC,0,783,2.8243573,,,
SAC,0,783,,,,
SAC,0,809,,4.73,,
SAC,0,809,2.8262663,,,
SAC,0,809,,,,
SAC,0,821,,4.75,,
SAC,0,821,2.841241,,,
SAC,0,821,,,,
SAC,0,832,,4.63,,
SAC,0,832,2.742246,,,
SAC,0,832,,,,
SAC,0,852,,4.65,,
SAC,0,852,2.7587645,,,
SAC,0,852,,,,
SAC,0,864,,4.66,,
SAC,0,864,2.7668555,,,
SAC,0,864,,,,
SAC,0,879,,,0.0,0.0
SAC,0,887,,,0.0,0.0
SAC,0,892,,,0.0,0.0
SAC,0,907,,,0.0,0.0
SAC,0,911,,,0.0,0.0
SAC,0,913,,,0.0,0.0
SAC,0,920,,,0.0,0.0
SAC,0,924,,,0.0,0.0
SAC,0,928,,,0.0,0.0
SAC,0,929,,,0.0,0.0
SAC,0,933,,,0.0,0.0
SAC,0,936,,,0.0,0.0
SAC,0,938,,,0.0,0.0
SAC,0,939,,,0.0,0.0
SAC,0,942,,,0.0,0.0
SAC,0,949,,,0.0,0.0
SAC,0,952,,,0.0,0.0
SAC,0,954,,,0.0,0.0
SAC,0,959,,,0.0,0.0
SAC,0,962,,,0.0,0.0
SAC,0,980,,,0.0,0.0
SAC,0,993,,,0.0,0.0
SAC,0,998,,,0.0,0.0
SAC,0,1003,,,0.0,0.0
SAC,0,1007,,,0.0,0.0
SAC,0,1011,,,0.0,0.0
SAC,0,1015,,,0.0,0.0
SAC,0,1019,,,0.0,0.0
SAC,0,1021,,,0.0,0.0
SAC,0,1026,,,0.0,0.0
SAC,0,1031,,,0.0,0.0
SAC,0,1037,,,0.0,0.0
SAC,0,1040,,,0.0,0.0
SAC,0,1053,,,0.0,0.0
SAC,0,1057,,,0.0,0.0
SAC,0,1061,,,0.0,0.0
SAC,0,1068,,,0.0,0.0
SAC,0,1075,,,0.0,0.0
SAC,0,1079,,,0.0,0.0
SAC,0,1083,,,0.0,0.0
SAC,0,1086,,,0.0,0.0
SAC,0,1099,,,0.0,0.0
SAC,0,1104,,,0.0,0.0
SAC,0,1106,,,0.0,0.0
SAC,0,1114,,,0.0,0.0
SAC,0,907,,4.95,,
SAC,0,907,2.9775102,,,
SAC,0,907,,,,
SAC,0,924,,4.96,,
SAC,0,924,2.981041,,,
SAC,0,924,,,,
